Gender,Age,SeniorCitizen,Married,NumberofDependents,Number_of_Referrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,SatisfactionScore,ServiceCount,AvgChargePerTenureMonth,CLTV
Male,77,Yes,No,0,0,12,No Offer,No,0.0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,1,4,43.9125,2437
Female,42,No,No,0,0,14,Offer D,Yes,18.74,No,Yes,Cable,20,No,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.35,1025.95,0.0,0,262.36,2,2,73.28214285714286,4995
Female,51,No,Yes,3,6,23,Offer D,Yes,48.73,No,Yes,Fiber Optic,75,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.3,1702.9,0.0,0,1120.79,5,2,74.0391304347826,5903
Male,33,No,Yes,1,1,5,No Offer,Yes,15.01,No,Yes,Fiber Optic,19,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.35,434.5,17.33,0,75.05,4,5,86.9,4014
Male,59,No,Yes,3,4,38,No Offer,Yes,31.45,No,Yes,DSL,76,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,74.05,2802.3,0.0,0,1195.1,3,6,73.74473684210527,5975
Male,54,No,Yes,0,3,58,Offer B,Yes,27.93,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.55,1108.8,0.0,0,1619.94,3,0,19.117241379310343,4801
Female,51,No,Yes,0,6,72,Offer A,Yes,43.91,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,1502.25,0.0,0,3161.52,4,0,20.864583333333332,6302
Male,61,No,No,0,0,65,No Offer,Yes,33.11,Yes,Yes,Fiber Optic,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,110.0,7138.65,0.0,0,2152.15,4,7,109.8253846153846,6351
Female,35,No,Yes,0,1,39,No Offer,Yes,9.51,No,Yes,Fiber Optic,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.7,4134.85,0.0,0,370.89,2,7,106.02179487179488,2371
Female,25,No,Yes,0,1,30,Offer C,Yes,4.82,Yes,Yes,Fiber Optic,41,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2624.25,0.0,0,144.6,2,3,87.475,3698
Female,65,Yes,No,0,0,46,No Offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,1,7,105.97391304347826,2403
Male,31,No,Yes,0,7,17,Offer D,Yes,46.71,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,1336.9,0.0,0,794.07,5,2,78.64117647058823,3591
Female,48,No,No,0,0,50,No Offer,No,0.0,No,Yes,DSL,6,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,39.7,1932.75,0.0,0,0.0,3,4,38.655,5174
Male,76,Yes,No,0,0,67,No Offer,Yes,38.85,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,101.4,6841.05,0.0,0,2602.95,4,4,102.10522388059702,5269
Female,62,No,Yes,2,6,63,Offer B,Yes,1.18,No,Yes,DSL,27,Yes,Yes,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,63.55,4014.2,0.0,90,74.34,3,4,63.717460317460315,5733
Male,62,No,No,0,0,1,Offer E,Yes,23.96,No,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.95,78.95,0.0,0,23.96,2,2,78.95,2038
Female,32,No,No,2,0,22,Offer D,Yes,33.73,Yes,Yes,Fiber Optic,19,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,1816.75,0.0,0,742.06,3,3,82.57954545454545,4240
Female,55,No,Yes,0,9,46,Offer B,Yes,35.46,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,24.45,1066.15,0.0,0,1631.16,4,0,23.17717391304348,2438
Male,28,No,Yes,0,1,50,Offer B,Yes,34.14,Yes,Yes,Fiber Optic,69,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103.7,5071.05,36.61,0,1707.0,1,6,101.421,5897
Male,24,No,No,0,0,1,No Offer,Yes,31.34,No,Yes,Fiber Optic,52,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.05,79.05,0.0,0,31.34,1,3,79.05,3555
Male,49,No,No,0,0,46,Offer B,Yes,30.99,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.2,908.15,0.0,0,1425.54,4,0,19.742391304347827,2776
Male,35,No,No,0,0,24,No Offer,Yes,14.39,No,Yes,DSL,28,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.55,1210.4,0.0,0,345.36,1,2,50.43333333333334,5005
Female,59,No,Yes,0,3,71,No Offer,Yes,30.68,Yes,Yes,Cable,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,85.75,6223.8,4.6,0,2178.28,3,8,87.65915492957747,4487
Male,26,No,Yes,3,7,31,No Offer,Yes,7.03,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.75,755.6,0.0,0,217.93,4,0,24.374193548387098,5472
Male,23,No,No,0,0,52,Offer B,Yes,29.16,Yes,Yes,Cable,73,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,79.75,4217.8,0.0,0,1516.32,4,6,81.11153846153846,4142
Female,48,No,Yes,0,1,64,No Offer,No,0.0,No,Yes,DSL,30,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.6,3423.5,0.0,0,0.0,4,6,53.4921875,4850
Female,38,No,Yes,0,9,2,No Offer,Yes,32.86,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.1,43.15,0.0,0,65.72,3,0,21.575,4158
Male,53,No,Yes,0,1,14,Offer D,No,0.0,No,Yes,DSL,12,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,46.35,667.7,0.0,0,0.0,3,4,47.69285714285714,5360
Male,64,No,Yes,0,4,32,No Offer,Yes,43.11,Yes,Yes,Fiber Optic,18,No,No,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,79.25,2619.15,16.96,0,1379.52,5,2,81.8484375,2735
Male,25,No,Yes,1,8,66,Offer A,Yes,35.01,Yes,Yes,DSL,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,79.85,5234.95,0.0,0,2310.66,5,6,79.31742424242424,6236
Female,32,No,Yes,1,1,22,No Offer,Yes,5.26,No,Yes,DSL,19,No,Yes,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,55.15,1206.05,0.0,30,115.72,2,2,54.820454545454545,5115
Female,35,No,Yes,0,3,2,Offer E,Yes,5.42,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,41.85,0.0,0,10.84,4,0,20.925,5761
Male,27,No,No,0,0,14,No Offer,Yes,9.19,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.05,299.3,0.0,0,128.66,5,0,21.37857142857143,5728
Male,70,Yes,No,0,0,47,No Offer,Yes,44.08,Yes,Yes,Fiber Optic,20,No,No,No,No,Yes,No,No,Yes,One Year,Yes,Credit Card,86.05,3865.6,0.0,0,2071.76,3,2,82.2468085106383,5527
Male,75,Yes,Yes,0,2,71,No Offer,Yes,1.23,No,Yes,Fiber Optic,9,No,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Credit Card,95.5,6707.15,0.0,0,87.33,4,5,94.4669014084507,6412
Female,19,No,Yes,0,1,22,No Offer,Yes,32.11,No,Yes,Fiber Optic,52,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,1554.0,0.0,0,706.42,1,1,70.63636363636364,2159
Male,38,No,Yes,0,6,45,Offer B,Yes,9.91,No,Yes,Cable,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,78.8,3597.5,23.28,0,445.95,4,7,79.94444444444444,4192
Female,68,Yes,No,0,0,1,No Offer,Yes,16.37,Yes,Yes,Fiber Optic,7,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.05,85.05,0.0,0,16.37,1,3,85.05,2975
Male,50,No,No,1,0,13,Offer D,Yes,30.19,No,Yes,DSL,17,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,66.4,831.75,0.0,0,392.47,5,4,63.98076923076923,3660
Male,57,No,Yes,0,1,71,Offer A,Yes,5.76,Yes,Yes,Fiber Optic,11,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,108.6,7690.9,0.0,20,408.96,1,6,108.3225352112676,4982
Male,42,No,No,0,0,2,No Offer,Yes,41.18,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.0,184.65,0.0,0,82.36,3,2,92.325,3051
Male,59,No,No,0,0,1,No Offer,Yes,14.65,No,Yes,Cable,15,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,55.05,55.05,0.0,0,14.65,4,3,55.05,2962
Female,22,No,Yes,0,1,33,Offer C,Yes,41.61,Yes,Yes,Fiber Optic,73,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,103.7,3467.0,0.0,0,1373.13,2,6,105.06060606060606,4461
Male,67,Yes,No,0,0,71,No Offer,Yes,34.8,Yes,Yes,Fiber Optic,21,No,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,106.8,7623.2,0.0,0,2470.8,3,5,107.36901408450704,6423
Male,26,No,Yes,0,10,32,No Offer,Yes,15.41,Yes,Yes,DSL,46,Yes,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,72.8,2333.05,0.0,0,493.12,5,4,72.9078125,3278
Male,42,No,Yes,2,7,5,No Offer,Yes,17.37,Yes,Yes,DSL,15,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit Card,64.4,316.9,0.0,0,86.85,3,4,63.379999999999995,3260
Female,29,No,Yes,5,3,53,No Offer,Yes,31.99,No,Yes,DSL,59,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,60.6,3297.0,0.0,0,1695.47,4,4,62.20754716981132,4854
Female,26,No,No,0,0,15,Offer D,Yes,20.11,No,Yes,Cable,73,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One Year,No,Credit Card,65.6,1010.0,0.0,0,301.65,3,6,67.33333333333333,2976
Male,29,No,No,0,0,58,Offer B,Yes,49.02,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.8,1212.25,0.0,0,2843.16,4,0,20.900862068965516,4758
Female,21,No,Yes,1,1,15,No Offer,Yes,29.55,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.25,394.85,0.0,0,443.25,3,0,26.323333333333334,4667
Female,68,Yes,Yes,0,1,18,No Offer,Yes,25.27,Yes,Yes,Fiber Optic,15,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,99.75,1836.25,0.0,0,454.86,2,4,102.01388888888889,5857
Female,55,No,Yes,0,0,27,Offer C,Yes,20.02,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.9,2681.15,0.0,0,540.54,3,6,99.30185185185185,3795
Female,23,No,No,1,0,10,Offer D,Yes,14.24,Yes,Yes,Cable,26,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,73.55,693.3,0.0,0,142.4,3,6,69.33,4434
Male,19,No,No,0,0,3,No Offer,No,0.0,No,Yes,DSL,26,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,40.15,130.75,0.0,0,0.0,3,3,43.583333333333336,4710
Male,76,Yes,No,0,0,56,No Offer,Yes,5.19,Yes,Yes,Fiber Optic,16,No,No,Yes,No,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,101.05,5594.0,0.0,10,290.64,3,3,99.89285714285714,5514
Male,36,No,No,0,0,63,No Offer,Yes,13.14,No,Yes,Fiber Optic,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,109.2,7049.75,0.0,0,827.82,4,8,111.90079365079364,4273
Male,21,No,Yes,1,9,45,Offer B,Yes,25.69,Yes,Yes,DSL,26,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,73.85,3371.0,0.0,0,1156.05,3,5,74.91111111111111,5264
Male,25,No,Yes,3,5,34,No Offer,Yes,18.36,No,Yes,Fiber Optic,85,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.85,3091.75,14.93,0,624.24,5,4,90.93382352941177,3096
Female,24,No,No,0,0,12,Offer D,Yes,30.54,Yes,Yes,Fiber Optic,47,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.15,1164.3,0.0,0,366.48,2,5,97.02499999999999,3682
Male,28,No,Yes,0,9,52,No Offer,Yes,10.4,No,Yes,DSL,85,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,75.4,3865.45,0.0,0,540.8,5,6,74.33557692307691,5211
Male,29,No,Yes,2,3,22,No Offer,Yes,27.91,No,Yes,Cable,27,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,51.1,1232.9,0.0,0,614.02,5,2,56.040909090909096,5329
Female,54,No,Yes,0,7,72,Offer A,Yes,12.85,Yes,Yes,Fiber Optic,24,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,110.15,7998.8,0.0,70,925.2,4,6,111.09444444444445,5065
Male,52,No,Yes,0,1,72,No Offer,Yes,28.86,Yes,Yes,Fiber Optic,8,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.15,7422.1,0.0,0,2077.92,3,6,103.08472222222223,5152
Male,60,No,No,0,0,1,No Offer,Yes,4.18,No,Yes,DSL,8,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,49.65,49.65,0.0,40,4.18,3,1,49.65,5338
Female,55,No,No,0,0,62,No Offer,Yes,8.23,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.8,1563.95,0.0,0,510.26,3,0,25.225,6201
Male,59,No,No,0,0,39,Offer C,Yes,3.93,No,Yes,DSL,15,No,No,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,49.8,1971.15,0.0,0,153.27,4,2,50.542307692307695,2202
Male,52,No,No,0,0,30,Offer C,Yes,27.88,No,Yes,Cable,6,No,Yes,Yes,No,Yes,No,No,No,One Year,No,Credit Card,64.5,1929.95,0.0,0,836.4,5,3,64.33166666666666,4320
Male,42,No,No,0,0,27,Offer C,Yes,39.77,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.35,531.6,0.0,0,1073.79,3,0,19.68888888888889,4962
Female,80,Yes,No,0,0,1,No Offer,Yes,47.97,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.15,70.15,0.0,0,47.97,2,1,70.15,2825
Male,50,No,Yes,0,1,71,Offer A,Yes,4.85,Yes,Yes,DSL,26,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,66.85,4748.7,0.0,0,344.35,4,4,66.8830985915493,4117
Female,58,No,Yes,0,8,68,Offer A,No,0.0,No,Yes,DSL,11,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,54.4,3723.65,25.62,0,0.0,4,6,54.75955882352941,4897
Female,20,No,Yes,0,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,5,7,109.69649122807017,6026
Male,34,No,No,0,0,58,Offer B,Yes,41.14,Yes,Yes,Fiber Optic,25,No,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104.65,6219.6,0.0,40,2386.12,2,5,107.2344827586207,5411
Female,21,No,No,0,0,11,Offer D,Yes,1.16,No,Yes,DSL,41,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,54.6,617.85,0.0,0,12.76,4,3,56.16818181818182,2573
Male,38,No,No,3,0,3,Offer E,Yes,5.15,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,58.3,0.0,0,15.45,5,0,19.433333333333334,4430
Male,23,No,No,0,0,1,No Offer,Yes,35.28,No,Yes,Fiber Optic,51,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,71.35,71.35,0.0,0,35.28,3,2,71.35,5730
Male,71,Yes,Yes,0,0,10,No Offer,Yes,16.88,Yes,Yes,Fiber Optic,24,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,914.3,0.0,0,168.8,2,3,91.42999999999999,5124
Male,24,No,Yes,3,0,37,No Offer,Yes,8.21,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.8,726.1,0.0,0,303.77,3,0,19.624324324324323,2745
Female,60,No,Yes,0,7,1,No Offer,Yes,6.64,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,20.3,0.0,0,6.64,5,0,20.3,4215
Male,71,Yes,Yes,0,1,3,No Offer,Yes,41.3,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.9,334.65,0.0,0,123.9,2,5,111.55,2715
Male,54,No,No,0,0,4,No Offer,Yes,37.7,No,Yes,DSL,2,No,No,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,61.3,249.4,0.0,10,150.8,3,2,62.35,5281
Female,32,No,No,0,0,47,Offer B,Yes,2.45,No,Yes,Fiber Optic,13,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.7,4730.6,0.0,0,115.15,4,7,100.65106382978725,4543
Female,38,No,Yes,1,6,71,No Offer,Yes,9.4,No,Yes,Fiber Optic,10,No,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,76.05,5436.45,0.0,0,667.4,5,2,76.56971830985916,5841
